Run_number,Counts
32.0,3212380.0
32.0,3116230.0
32.0,3011086.0
32.0,3181514.0
32.0,3151354.0
32.0,3239456.0
32.0,3271595.0
32.0,3299857.0
32.0,3459054.0
32.0,3482518.0
32.0,3558756.0
32.0,3674801.0
32.0,3711680.0
32.0,3734573.0
32.0,3773775.0
32.0,3797508.0
32.0,3794746.0
32.0,3836017.0
32.0,3854264.0
32.0,3965327.0
32.0,3918189.0
32.0,3938515.0
32.0,4005943.0
32.0,4047753.0
32.0,4223706.0
32.0,4141269.0
32.0,4087303.0
32.0,4180646.0
32.0,4228396.0
32.0,4347261.0
32.0,4342255.0
32.0,4379333.0
32.0,4392108.0
32.0,4431777.0
32.0,4518560.0
32.0,4624628.0
32.0,4570742.0
32.0,4537922.0
32.0,4611835.0
32.0,4592701.0
32.0,4528108.0
32.0,4565244.0
32.0,4655735.0
32.0,4788073.0
32.0,4739674.0
32.0,4828002.0
32.0,4906591.0
32.0,4938855.0
32.0,5005971.0
32.0,5070531.0
32.0,5092589.0
32.0,5038199.0
32.0,4997350.0
32.0,5105028.0
32.0,5105297.0
32.0,5179870.0
32.0,5177683.0
32.0,5184357.0
32.0,5203875.0
32.0,5190943.0
32.0,5250291.0
32.0,5273435.0
32.0,5220221.0
32.0,5389328.0
32.0,5494166.0
32.0,5434457.0
32.0,5430556.0
32.0,5500543.0
32.0,5523625.0
32.0,5544101.0
32.0,5512952.0
32.0,5540188.0
32.0,5627577.0
32.0,5672705.0
32.0,5671677.0
32.0,5734874.0
32.0,5715808.0
32.0,5770643.0
32.0,5815224.0
32.0,5818436.0
32.0,5819571.0
32.0,5791502.0
32.0,5988497.0
32.0,6009225.0
32.0,5925819.0
32.0,5940632.0
32.0,5998546.0
32.0,5916314.0
32.0,5973379.0
32.0,5910137.0
32.0,5994395.0
32.0,5980835.0
32.0,5982782.0
32.0,6130692.0
32.0,6066257.0
32.0,6139564.0
32.0,6203157.0
32.0,6206078.0
32.0,6255893.0
32.0,6319003.0
32.0,6341974.0
32.0,6434023.0
32.0,6345875.0
32.0,6316301.0
32.0,6425113.0
32.0,6401023.0
32.0,6421755.0
32.0,6345078.0
32.0,6422968.0
32.0,6473983.0
32.0,6527001.0
32.0,6708492.0
32.0,6636135.0
32.0,6648038.0
32.0,6579816.0
32.0,6654052.0
32.0,6634753.0
32.0,6811716.0
32.0,6800204.0
32.0,6780663.0
32.0,6807078.0
32.0,6834959.0
32.0,7008662.0
32.0,6917279.0
32.0,6934723.0
32.0,7166932.0
32.0,7052374.0
32.0,7059870.0
32.0,7166252.0
32.0,7150473.0
32.0,7155670.0
32.0,7286866.0
32.0,7250314.0
32.0,7270358.0
32.0,7233757.0
32.0,7378224.0
32.0,7338077.0
32.0,7391311.0
32.0,7402186.0
32.0,7425181.0
32.0,7567475.0
32.0,7583539.0
32.0,7611579.0
32.0,7530871.0
32.0,7535204.0
32.0,7628910.0
32.0,7629110.0
32.0,7576621.0
32.0,7577225.0
32.0,7575960.0
32.0,7607056.0
32.0,7742293.0
32.0,7717608.0
32.0,7738327.0
32.0,7949198.0
32.0,7981520.0
32.0,7899724.0
32.0,7833507.0
32.0,7776395.0
32.0,7905026.0
32.0,7901744.0
32.0,7910938.0
32.0,8032367.0
32.0,7944341.0
32.0,7990776.0
32.0,8135090.0
32.0,8156274.0
32.0,8209623.0
32.0,8050653.0
32.0,8284363.0
32.0,8248697.0
32.0,8138075.0
